DATE,CPALTT01USM657N
1971-12-01,0.488997555012227
1972-01-01,0.0
1972-02-01,0.486618004866182
1972-03-01,0.2421307506053279
1972-04-01,0.241545893719808
1972-05-01,0.2409638554216879
1972-06-01,0.240384615384616
1972-07-01,0.479616306954438
1972-08-01,0.238663484486859
1972-09-01,0.2380952380952389
1972-10-01,0.4750593824228049
1972-11-01,0.2364066193853439
1972-12-01,0.2358490566037748
1973-01-01,0.23529411764706
1973-02-01,0.704225352112679
1973-03-01,0.932400932400936
1973-04-01,0.6928406466512728
1973-05-01,0.6880733944954159
1973-06-01,0.6833712984054549
1973-07-01,0.2262443438914039
1973-08-01,1.8058690744921095
1973-09-01,0.2217294900221739
1973-10-01,0.8849557522123929
1973-11-01,0.6578947368421079
1973-12-01,0.6535947712418179
1974-01-01,0.865800865800869
1974-02-01,1.2875536480686596
1974-03-01,1.2711864406779698
1974-04-01,0.4184100418410059
1974-05-01,1.24999999999999
1974-06-01,0.8230452674897158
1974-07-01,0.8163265306122479
1974-08-01,1.21457489878543
1974-09-01,1.19999999999999
1974-10-01,0.9881422924901228
1974-11-01,0.782778864970649
1974-12-01,0.776699029126217
1975-01-01,0.3853564547206179
1975-02-01,0.7677543186180328
1975-03-01,0.3809523809523829
1975-04-01,0.379506641366226
1975-05-01,0.5671077504725919
1975-06-01,0.751879699248124
1975-07-01,1.11940298507463
1975-08-01,0.1845018450184509
1975-09-01,0.5524861878452939
1975-10-01,0.549450549450552
1975-11-01,0.7285974499089279
1975-12-01,0.3616636528028949
1976-01-01,0.180180180180181
1976-02-01,0.3597122302158289
1976-03-01,0.179211469534051
1976-04-01,0.357781753130592
1976-05-01,0.713012477718339
1976-06-01,0.530973451327436
1976-07-01,0.5281690140845088
1976-08-01,0.525394045534141
1976-09-01,0.3484320557491299
1976-10-01,0.5208333333333359
1976-11-01,0.1727115716753029
1976-12-01,0.344827586206898
1977-01-01,0.515463917525775
1977-02-01,1.02564102564103
1977-03-01,0.676818950930618
1977-04-01,0.8403361344537849
1977-05-01,0.5000000000000019
1977-06-01,0.6633499170812628
1977-07-01,0.494233937397037
1977-08-01,0.3278688524590179
1977-09-01,0.3267973856209159
1977-10-01,0.3257328990228028
1977-11-01,0.487012987012989
1977-12-01,0.3231017770597749
1978-01-01,0.6441223832528
1978-02-01,0.6400000000000028
1978-03-01,0.7949125596184448
1978-04-01,0.788643533123032
1978-05-01,0.9389671361502387
1978-06-01,1.08527131782946
1978-07-01,0.7668711656441751
1978-08-01,0.456621004566212
1978-09-01,0.7575757575757409
1978-10-01,0.902255639097748
1978-11-01,0.4470938897168419
1978-12-01,0.445103857566767
1979-01-01,0.8862629246676551
1979-02-01,1.17130307467056
1979-03-01,1.01302460202605
1979-04-01,1.1461318051576
1979-05-01,1.27478753541075
1979-06-01,1.11888111888112
1979-07-01,1.1065006915629398
1979-08-01,0.95759233926129
1979-09-01,1.08401084010841
1979-10-01,0.8042895442359109
1979-11-01,0.9308510638297908
1979-12-01,1.0540184453228
1980-01-01,1.43415906127771
1980-02-01,1.41388174807199
1980-03-01,1.52091254752851
1980-04-01,1.1235955056179798
1980-05-01,0.987654320987642
1980-06-01,1.10024449877751
1980-07-01,0.0
1980-08-01,0.7255139056831948
1980-09-01,0.8403361344537689
1980-10-01,0.952380952380956
1980-11-01,0.8254716981132109
1980-12-01,0.9356725146198868
1981-01-01,0.8111239860950211
1981-02-01,1.03448275862069
1981-03-01,0.6825938566552779
1981-04-01,0.6779661016949179
1981-05-01,0.7856341189674559
1981-06-01,0.890868596881964
1981-07-01,1.1037527593819
1981-08-01,0.76419213973798
1981-09-01,0.975081256771402
1981-10-01,0.214592274678112
1981-11-01,0.3211991434689518
1981-12-01,0.320170757737447
1982-01-01,0.319148936170214
1982-02-01,0.318133616118771
1982-03-01,-0.1057082452431289
1982-04-01,0.4232804232804249
1982-05-01,0.9483667017913628
1982-06-01,1.25260960334028
1982-07-01,0.515463917525775
1982-08-01,0.205128205128206
1982-09-01,0.2047082906857738
1982-10-01,0.306435137895813
1982-11-01,-0.2036659877800419
1982-12-01,-0.4081632653061239
1983-01-01,0.204918032786886
1983-02-01,0.1022494887525569
1983-03-01,0.0
1983-04-01,0.7150153217568979
1983-05-01,0.6085192697768789
1983-06-01,0.3024193548387109
1983-07-01,0.402010050251258
1983-08-01,0.3003003003003019
1983-09-01,0.4990019960079729
1983-10-01,0.297914597815294
1983-11-01,0.1980198019801988
1983-12-01,0.0988142292490123
1984-01-01,0.5923000987166729
1984-02-01,0.49067713444555
1984-03-01,0.1953125000000009
1984-04-01,0.487329434697845
1984-05-01,0.2909796314258139
1984-06-01,0.290135396518364
1984-07-01,0.3857280617164919
1984-08-01,0.3842459173871289
1984-09-01,0.4784688995215328
1984-10-01,0.2857142857142869
1984-11-01,0.0
1984-12-01,0.0
1985-01-01,0.189933523266857
1985-02-01,0.4739336492891019
1985-03-01,0.3773584905660389
1985-04-01,0.4699248120300649
1985-05-01,0.3741814780168399
1985-06-01,0.2795899347623619
1985-07-01,0.1858736059479559
1985-08-01,0.1855287569573288
1985-09-01,0.2777777777777669
1985-10-01,0.3693444136657448
1985-11-01,0.2759889604415839
1985-12-01,0.2752293577981659
1986-01-01,0.274473924977128
1986-02-01,-0.2737226277372269
1986-03-01,-0.4574565416285348
1986-04-01,-0.1838235294117649
1986-05-01,0.2762430939226409
1986-06-01,0.550964187327826
1986-07-01,0.0
1986-08-01,0.1826484018264729
1986-09-01,0.4557885141294579
1986-10-01,0.0907441016333822
1986-11-01,0.090661831369006
1986-12-01,0.090579710144916
1987-01-01,0.633484162895942
1987-02-01,0.3597122302158289
1987-03-01,0.4480286738351149
1987-04-01,0.535236396074935
1987-05-01,0.3549245785270638
1987-06-01,0.353669319186562
1987-07-01,0.2643171806167299
1987-08-01,0.5272407732864579
1987-09-01,0.524475524475527
1987-10-01,0.260869565217404
1987-11-01,0.0867302688638224
1987-12-01,0.0
1988-01-01,0.259965337954952
1988-02-01,0.259291270527215
1988-03-01,0.4310344827586338
1988-04-01,0.5150214592274698
1988-05-01,0.3415883859948778
1988-06-01,0.4255319148936079
1988-07-01,0.423728813559324
1988-08-01,0.4219409282700328
1988-09-01,0.6722689075630279
1988-10-01,0.3338898163606019
1988-11-01,0.0831946755407766
1988-12-01,0.1662510390689949
1989-01-01,0.497925311203322
1989-02-01,0.4128819157720799
1989-03-01,0.5756578947368549
1989-04-01,0.654129190515129
1989-05-01,0.56864337936636
1989-06-01,0.2423263327948209
1989-07-01,0.241740531829182
1989-08-01,0.1607717041800439
1989-09-01,0.3210272873194239
1989-10-01,0.4800000000000019
1989-11-01,0.2388535031847039
