Model,RMSE,MAE,R_squared
MLR,0.2108914449028088,0.16767787644164428,0.6360838063265046
RandomForest,0.23553911022019186,0.18756082520113052,0.546048435765651
SVR,0.22234805615967226,0.17646593313522202,0.5954705622944173
